,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2006-02-10,719.6,-0.9951,0.141,0.789,0.069,715.0,723.55,715.0,5166270.0
2006-02-13,716.8,-0.9822,0.113,0.809,0.078,715.0,721.0,715.0,3170840.0
2006-02-14,714.2,-0.9285,0.098,0.816,0.085,715.0,724.35,712.1,6607308.0
2006-02-15,701.8,-0.9981,0.156,0.784,0.06,712.1,718.9,696.5,7659167.0
2006-02-16,697.05,-0.9746,0.112,0.799,0.088,701.8,709.4,694.05,4058936.0
2006-02-17,693.15,-0.9967,0.127,0.811,0.061,703.0,707.5,690.0,4632076.0
2006-02-20,702.05,-0.9938,0.137,0.78,0.082,694.0,703.45,689.0,3226110.0
2006-02-21,697.75,-0.9859,0.108,0.816,0.076,702.05,706.0,694.3,3360389.0
2006-02-22,703.95,-0.9992,0.196,0.737,0.067,699.25,705.5,698.0,2935983.0
2006-02-23,700.35,-0.9917,0.096,0.868,0.036,705.0,706.85,695.05,6211541.0
2006-02-24,702.85,-0.998,0.168,0.752,0.08,702.0,707.4,699.0,2401313.0
2006-02-27,700.1,-0.9963,0.131,0.796,0.072,703.0,705.85,697.0,5398936.0
2006-02-28,708.85,-0.9822,0.109,0.819,0.073,703.75,714.9,695.3,7720791.0
2006-03-01,708.25,-0.9922,0.117,0.811,0.073,708.0,713.9,702.1,4523549.0
2006-03-02,713.15,-0.9973,0.152,0.761,0.087,710.0,719.0,707.0,3821962.0
2006-03-03,715.75,-0.9889,0.13,0.78,0.09,715.0,718.0,708.25,4185425.0
2006-03-06,732.2,-0.9748,0.096,0.838,0.066,717.0,733.9,717.0,6130529.0
2006-03-07,732.5,-0.9986,0.177,0.719,0.104,733.3,740.0,729.0,5395169.0
2006-03-08,719.9,-0.9995,0.215,0.71,0.075,733.0,733.0,711.65,7028288.0
2006-03-09,726.75,-0.988,0.097,0.839,0.064,724.0,728.7,711.5,4618646.0
2006-03-10,731.45,-0.9917,0.116,0.809,0.075,731.0,737.9,727.15,3455455.0
2006-03-13,735.35,-0.9987,0.159,0.78,0.061,731.5,741.25,731.0,3966001.0
2006-03-14,742.5,-0.8668,0.106,0.806,0.087,734.0,746.5,729.15,3737688.0
2006-03-16,768.5,-0.9875,0.137,0.782,0.081,745.0,770.0,742.5,8821809.0
2006-03-17,775.05,-0.99,0.099,0.851,0.05,770.0,781.95,763.1,6390433.0
2006-03-20,778.05,-0.9959,0.152,0.738,0.11,776.7,780.0,770.5,2482378.0
2006-03-21,780.45,-0.8541,0.107,0.791,0.102,780.0,795.0,774.5,4370763.0
2006-03-22,772.5,-0.9987,0.164,0.782,0.054,782.95,786.5,758.6,5109676.0
2006-03-23,777.35,0.9595,0.106,0.762,0.133,781.5,784.45,768.65,3868446.0
2006-03-24,782.2,-0.6676,0.083,0.844,0.074,776.0,785.0,776.0,2825935.0
2006-03-27,794.35,-0.9952,0.132,0.793,0.075,786.0,797.7,786.0,3052370.0
2006-03-28,790.85,-0.9981,0.151,0.775,0.074,795.0,797.0,787.6,1832302.0
2006-03-29,793.75,-0.9966,0.121,0.818,0.061,796.0,797.8,787.25,1847797.0
2006-03-30,795.7,-0.9901,0.109,0.847,0.044,796.0,806.9,788.0,3259099.0
2006-03-31,795.35,-0.9899,0.135,0.773,0.092,799.95,808.0,788.0,8352073.0
2006-04-03,828.8,-0.9814,0.095,0.846,0.059,801.0,833.0,801.0,5031936.0
2006-04-04,836.75,-0.9893,0.155,0.716,0.13,831.0,843.0,830.05,3929854.0
2006-04-05,840.5,-0.9557,0.098,0.818,0.085,843.0,845.0,835.0,4564004.0
2006-04-07,833.45,-0.9955,0.125,0.838,0.037,844.5,846.3,829.65,4241119.0
2006-04-10,836.25,-0.9949,0.135,0.798,0.067,833.0,841.7,824.15,4603751.0
2006-04-12,828.75,-0.996,0.148,0.768,0.084,835.1,858.7,821.1,9379270.0
2006-04-13,846.5,-0.9258,0.112,0.785,0.103,830.0,852.9,827.2,8754381.0
2006-04-17,851.45,-0.9325,0.097,0.822,0.081,850.0,857.0,846.1,2983707.0
2006-04-18,891.3,0.8175,0.077,0.83,0.093,853.8,895.75,853.8,8211163.0
2006-04-19,921.8,-0.988,0.147,0.728,0.125,898.9,932.0,894.0,10659773.0
2006-04-20,992.55,-0.6343,0.066,0.865,0.07,935.0,999.7,935.0,14912419.0
2006-04-21,974.95,-0.9915,0.13,0.798,0.073,1000.0,1008.0,953.5,8650976.0
2006-04-24,977.2,-0.9966,0.139,0.784,0.077,975.0,999.5,966.0,6676696.0
2006-04-25,955.1,-0.9969,0.169,0.74,0.092,977.5,985.0,951.0,3524708.0
2006-04-26,978.65,-0.9897,0.143,0.761,0.096,960.0,982.0,952.15,4795378.0
2006-04-27,997.95,-0.9941,0.141,0.769,0.09,982.0,1050.0,982.0,9853311.0
2006-04-28,1008.9,-0.9902,0.096,0.856,0.048,985.0,1011.0,971.0,6259209.0
2006-04-29,1022.95,-0.855,0.102,0.815,0.083,1006.6,1030.0,1006.6,1178831.0
2006-05-02,1031.15,-0.9929,0.138,0.771,0.091,1025.0,1042.9,1024.0,3045647.0
2006-05-03,1035.55,-0.9986,0.178,0.73,0.091,1031.2,1042.0,1021.1,2673389.0
2006-05-04,1080.2,-0.9967,0.134,0.793,0.074,1042.0,1120.8,1040.0,14186838.0
2006-05-05,1099.25,-0.8519,0.106,0.781,0.113,1083.7,1109.0,1082.0,5974599.0
2006-05-08,1155.0,-0.9873,0.113,0.81,0.077,1115.0,1169.0,1112.0,7762822.0
2006-05-09,1154.1,-0.9364,0.094,0.824,0.082,1160.0,1169.7,1136.0,7244226.0
2006-05-10,1169.8,-0.9987,0.169,0.77,0.061,1160.0,1175.0,1137.25,10202815.0
2006-05-11,1110.25,0.9968,0.08,0.802,0.118,1175.0,1184.4,1101.0,12118649.0
2006-05-12,1066.85,-0.9971,0.161,0.748,0.091,1120.55,1120.55,1057.0,8558303.0
2006-05-15,1021.65,-0.9985,0.169,0.755,0.077,1070.0,1070.0,1011.55,9724804.0
2006-05-16,1043.7,-0.9962,0.134,0.793,0.073,1024.95,1054.9,976.0,12525373.0
2006-05-17,1086.2,-0.9941,0.134,0.788,0.078,1069.2,1091.95,1055.0,5845869.0
2006-05-18,1004.8,-0.9952,0.109,0.823,0.068,1065.0,1069.8,992.5,9549377.0
2006-05-19,978.1,-0.9955,0.148,0.765,0.086,1010.0,1060.0,961.5,13997755.0
2006-05-22,929.4,-0.9978,0.164,0.75,0.086,995.0,999.0,840.0,12911483.0
2006-05-23,967.1,-0.9956,0.123,0.824,0.054,939.0,980.0,921.2,8397857.0
2006-05-24,938.55,-0.9979,0.148,0.776,0.076,972.0,972.0,865.0,11456992.0
2006-05-25,950.0,-0.9966,0.133,0.782,0.085,944.4,962.0,922.5,9098194.0
2006-05-26,958.5,-0.996,0.156,0.767,0.078,960.0,991.8,952.55,6631388.0
2006-05-29,955.95,-0.9986,0.179,0.742,0.08,962.0,978.0,951.0,3726526.0
2006-05-30,954.95,-0.8973,0.126,0.757,0.116,959.7,977.5,945.0,3546189.0
2006-05-31,954.15,-0.9813,0.108,0.814,0.078,938.0,962.9,912.0,9106430.0
2006-06-01,925.35,-0.9957,0.132,0.776,0.091,965.0,965.0,925.0,8935806.0
2006-06-02,958.1,-0.9982,0.19,0.714,0.095,930.0,962.0,925.05,5698370.0
2006-06-05,925.35,-0.9926,0.118,0.817,0.065,962.0,970.7,925.05,5848259.0
2006-06-06,906.5,-0.9965,0.13,0.801,0.069,920.0,925.0,900.0,8414949.0
2006-06-07,893.0,-0.9978,0.145,0.797,0.059,905.0,920.0,878.85,11521168.0
2006-06-08,825.7,-0.9859,0.111,0.808,0.081,881.1,885.0,807.0,11944784.0
2006-06-09,922.75,-0.9977,0.145,0.782,0.072,815.0,929.2,815.0,11297369.0
2006-06-12,901.05,-0.9986,0.192,0.738,0.07,918.0,948.0,893.3,7039646.0
2006-06-13,858.65,-0.9992,0.179,0.749,0.072,890.0,890.0,851.0,7244040.0
2006-06-14,858.45,-0.9944,0.12,0.82,0.06,865.0,893.0,843.2,8583434.0
2006-06-15,895.35,-0.9966,0.148,0.765,0.087,877.0,900.0,872.5,6000097.0
2006-06-16,921.6,-0.9907,0.117,0.813,0.07,908.0,945.0,908.0,6956151.0
2006-06-19,933.7,-0.9975,0.143,0.788,0.069,918.0,940.0,903.0,4003171.0
2006-06-20,925.0,-0.9993,0.178,0.761,0.061,930.0,936.0,916.0,4529902.0
2006-06-21,964.15,-0.9953,0.135,0.797,0.068,930.0,968.5,918.0,6496928.0
2006-06-22,975.1,-0.9977,0.162,0.748,0.09,970.0,993.4,967.2,4852544.0
2006-06-23,1011.9,-0.9973,0.151,0.781,0.068,968.0,1016.5,952.1,6031015.0
2006-06-25,1007.2,-0.9941,0.124,0.808,0.067,1010.0,1024.0,1002.1,835543.0
2006-06-26,981.2,-0.9974,0.153,0.783,0.064,1015.0,1023.8,977.5,7047164.0
2006-06-27,985.75,-0.9904,0.123,0.79,0.087,993.0,1010.9,979.55,12507571.0
2006-06-28,1000.95,-0.9984,0.139,0.809,0.052,962.15,1006.0,962.15,6403778.0
2006-06-29,1008.35,-0.9921,0.135,0.782,0.083,1023.9,1030.0,1001.5,6026607.0
2006-06-30,1059.85,-0.9974,0.152,0.794,0.055,1024.9,1064.0,1024.9,5951444.0
2006-07-03,1071.1,-0.9984,0.156,0.781,0.063,1061.65,1079.7,1054.3,4381854.0
2006-07-04,1074.7,-0.9921,0.139,0.765,0.096,1070.0,1083.7,1068.0,3618844.0
2006-07-05,1094.15,-0.9948,0.104,0.852,0.044,1074.0,1099.0,1065.15,4376904.0
2006-07-06,1083.25,-0.9982,0.166,0.775,0.059,1079.9,1091.0,1071.15,4269451.0
2006-07-07,1031.6,-0.9976,0.128,0.813,0.058,1094.0,1094.0,1026.25,6609409.0
2006-07-10,1043.3,-0.9935,0.139,0.785,0.076,1036.0,1049.85,1023.2,4474993.0
2006-07-11,1049.2,-0.9963,0.12,0.825,0.055,1045.0,1052.75,1036.2,3469398.0
2006-07-12,1098.05,-0.998,0.152,0.765,0.083,1036.2,1100.0,1011.1,7344439.0
2006-07-13,1075.45,-0.9982,0.196,0.685,0.119,1086.25,1095.0,1070.35,3334343.0
2006-07-14,1069.1,-0.9968,0.143,0.78,0.076,1065.0,1083.0,1050.75,3247287.0
2006-07-17,1031.4,-0.9894,0.134,0.78,0.086,1058.0,1068.4,1027.75,2941065.0
2006-07-18,1004.4,-0.99,0.107,0.829,0.063,1033.0,1040.0,989.1,6374130.0
2006-07-19,983.05,-0.9986,0.132,0.826,0.042,1010.0,1029.9,977.15,6736611.0
2006-07-20,995.4,0.6679,0.126,0.744,0.13,997.0,1010.0,985.25,7203202.0
2006-07-21,967.55,-0.9987,0.184,0.751,0.065,990.0,995.0,955.6,6653511.0
2006-07-24,971.5,-0.838,0.105,0.8,0.096,962.0,975.0,941.5,5322776.0
2006-07-25,987.8,-0.9808,0.127,0.774,0.099,984.8,991.0,977.0,3152067.0
2006-07-26,999.9,-0.9952,0.14,0.781,0.079,990.0,1004.9,981.1,2948918.0
2006-07-27,1000.1,-0.9983,0.165,0.745,0.09,1004.9,1015.8,988.25,4682950.0
2006-07-28,979.05,-0.931,0.125,0.756,0.119,1008.7,1008.7,974.0,3609008.0
2006-07-31,978.8,-0.9987,0.182,0.76,0.058,988.0,998.0,976.1,3319820.0
2006-08-01,981.6,-0.9993,0.197,0.723,0.08,974.0,990.95,974.0,3479516.0
2006-08-02,990.9,-0.989,0.108,0.824,0.068,979.0,994.45,979.0,2060549.0
2006-08-03,988.0,-0.9988,0.145,0.813,0.042,995.0,1008.0,981.35,3973655.0
2006-08-04,967.8,-0.9988,0.159,0.779,0.062,988.0,999.5,962.25,4994599.0
2006-08-07,954.95,-0.9981,0.174,0.729,0.097,968.0,968.7,952.0,2432744.0
2006-08-08,977.15,-0.9936,0.12,0.813,0.067,955.5,979.7,955.0,2209516.0
2006-08-09,988.0,-0.9987,0.148,0.775,0.077,977.15,996.4,970.0,3368611.0
2006-08-10,978.95,-0.9908,0.1,0.824,0.076,988.0,990.0,967.2,2701869.0
2006-08-11,1011.0,-0.998,0.144,0.776,0.08,985.9,1015.0,975.0,5525255.0
2006-08-14,1029.25,-0.9704,0.117,0.788,0.095,1015.0,1032.0,1002.2,2643615.0
2006-08-16,1046.5,-0.7241,0.079,0.836,0.085,1035.0,1055.0,1034.1,4117495.0
2006-08-17,1066.1,-0.9992,0.174,0.738,0.087,1059.0,1074.0,1038.05,5353897.0
2006-08-18,1055.9,-0.9663,0.109,0.798,0.092,1068.0,1078.5,1049.0,2157694.0
2006-08-21,1067.6,0.9758,0.095,0.789,0.117,1055.0,1074.9,1045.0,2365329.0
2006-08-22,1064.8,0.8779,0.058,0.87,0.072,1080.0,1084.9,1055.55,3095055.0
2006-08-23,1061.9,-0.9947,0.117,0.806,0.077,1062.0,1073.9,1055.15,2384297.0
2006-08-24,1106.85,-0.9984,0.159,0.749,0.093,1060.0,1119.8,1052.0,5654802.0
2006-08-25,1110.65,-0.997,0.135,0.79,0.075,1115.0,1125.0,1101.0,4796556.0
2006-08-28,1122.1,-0.997,0.147,0.771,0.082,1113.0,1123.9,1107.15,2073874.0
2006-08-29,1118.85,-0.9882,0.11,0.809,0.081,1129.9,1139.9,1115.0,3949482.0
2006-08-30,1128.8,-0.9982,0.144,0.771,0.085,1115.0,1135.0,1107.1,3288304.0
2006-08-31,1117.35,-0.998,0.129,0.82,0.052,1040.0,1135.8,1040.0,5138080.0
2006-09-01,1122.5,-0.9846,0.123,0.776,0.101,1115.0,1128.4,1115.0,2145745.0
2006-09-04,1131.6,-0.9916,0.122,0.788,0.089,1125.05,1137.95,1125.05,2482734.0
2006-09-05,1125.95,-0.9954,0.121,0.8,0.079,1125.0,1135.0,1116.0,1488628.0
2006-09-06,1137.5,0.9517,0.114,0.76,0.126,1126.0,1146.0,1124.0,3579830.0
2006-09-07,1125.7,-0.9992,0.177,0.746,0.077,1135.0,1135.0,1120.3,2806030.0
2006-09-08,1130.8,-0.9965,0.131,0.8,0.069,1130.0,1134.45,1112.5,4495580.0
2006-09-11,1087.7,-0.9929,0.121,0.804,0.075,1132.0,1134.95,1083.0,4762799.0
2006-09-12,1106.85,-0.9845,0.12,0.789,0.091,1092.0,1109.75,1073.1,5799339.0
2006-09-13,1116.15,-0.9134,0.104,0.801,0.095,1111.8,1125.3,1111.0,4004791.0
2006-09-14,1126.35,-0.9987,0.144,0.797,0.06,1120.0,1136.9,1115.8,3167438.0
2006-09-15,1140.6,-0.9985,0.14,0.801,0.059,1127.0,1144.0,1114.25,3008309.0
2006-09-18,1133.45,-0.9899,0.119,0.788,0.093,1145.0,1150.65,1125.15,2757594.0
2006-09-19,1117.85,-0.9978,0.134,0.796,0.07,1135.0,1145.4,1109.0,3060577.0
2006-09-20,1128.15,-0.9955,0.116,0.818,0.066,1114.0,1131.8,1105.05,3127726.0
2006-09-21,1138.9,-0.9913,0.136,0.76,0.104,1133.15,1143.7,1130.25,3702426.0
2006-09-22,1156.0,0.9566,0.082,0.804,0.114,1134.75,1158.9,1128.0,5310389.0
2006-09-25,1163.1,-0.9043,0.092,0.814,0.094,1159.8,1175.0,1156.0,4309600.0
2006-09-26,1179.1,-0.9465,0.103,0.811,0.086,1164.0,1182.0,1160.15,3786786.0
2006-09-27,1174.05,-0.9937,0.138,0.772,0.09,1186.0,1196.8,1170.25,2420909.0
2006-09-28,1168.0,-0.9971,0.13,0.805,0.065,1171.2,1180.0,1163.0,3831187.0
2006-09-29,1171.75,-0.9818,0.133,0.753,0.114,1189.8,1189.8,1169.1,2026064.0
2006-10-03,1161.8,-0.8917,0.098,0.811,0.09,1165.25,1176.35,1160.0,1039522.0
2006-10-04,1149.05,-0.9874,0.112,0.813,0.075,1165.0,1167.0,1143.0,5087322.0
2006-10-05,1154.9,-0.9866,0.101,0.831,0.068,1160.0,1164.4,1150.6,4079358.0
2006-10-06,1162.85,-0.9968,0.112,0.837,0.051,1166.0,1174.4,1152.0,2702479.0
2006-10-09,1153.45,-0.9935,0.126,0.804,0.07,1155.0,1167.0,1150.1,1653865.0
2006-10-10,1150.9,-0.9961,0.111,0.831,0.058,1160.0,1164.8,1147.05,1316925.0
2006-10-11,1143.3,-0.9639,0.102,0.81,0.088,1155.0,1161.9,1138.5,2707855.0
2006-10-12,1168.75,-0.9978,0.149,0.776,0.075,1144.45,1173.0,1142.25,3890228.0
2006-10-13,1190.7,0.2902,0.082,0.827,0.091,1173.0,1195.95,1173.0,5415820.0
2006-10-16,1213.4,0.9633,0.09,0.811,0.099,1195.0,1219.0,1194.0,4348186.0
2006-10-17,1215.2,-0.9983,0.143,0.785,0.072,1215.0,1221.8,1205.1,2535472.0
2006-10-18,1208.5,-0.9956,0.126,0.804,0.07,1202.2,1220.5,1202.2,2466134.0
2006-10-19,1197.1,-0.9944,0.137,0.778,0.085,1214.0,1214.0,1186.6,3684154.0
2006-10-20,1203.55,-0.99,0.115,0.81,0.075,1205.8,1219.3,1200.0,3792624.0
2006-10-21,1201.2,-0.9953,0.151,0.78,0.069,1220.0,1220.0,1195.1,663569.0
2006-10-23,1193.85,-0.988,0.117,0.802,0.081,1200.0,1200.9,1191.7,1779594.0
2006-10-26,1174.95,-0.9952,0.128,0.788,0.083,1190.0,1194.0,1170.0,2425246.0
2006-10-27,1222.7,-0.9992,0.196,0.72,0.084,1183.9,1227.1,1180.1,4776535.0
2006-10-30,1236.15,-0.9874,0.11,0.813,0.077,1225.0,1240.0,1212.15,2043590.0
2006-10-31,1226.0,-0.9977,0.183,0.721,0.096,1235.0,1239.0,1218.25,2048330.0
2006-11-01,1264.4,-0.9951,0.114,0.83,0.056,1221.0,1268.0,1220.1,5496687.0
2006-11-02,1283.35,-0.9926,0.101,0.838,0.061,1268.0,1299.0,1258.5,4150837.0
2006-11-03,1287.7,-0.9888,0.114,0.802,0.084,1290.0,1291.9,1268.0,3253964.0
2006-11-06,1304.5,-0.9811,0.109,0.81,0.081,1286.0,1315.0,1280.25,3496771.0
2006-11-07,1291.3,-0.3443,0.12,0.753,0.127,1308.0,1315.95,1285.15,3643621.0
2006-11-08,1252.25,0.5303,0.088,0.832,0.08,1291.3,1294.7,1241.35,4882281.0
2006-11-09,1260.6,-0.9676,0.114,0.784,0.102,1256.0,1266.6,1243.8,4096597.0
2006-11-10,1285.3,-0.9967,0.155,0.736,0.109,1267.0,1293.7,1253.15,3433415.0
2006-11-13,1285.4,-0.9974,0.145,0.762,0.093,1288.0,1296.0,1282.0,1127083.0
2006-11-14,1279.4,-0.9869,0.108,0.814,0.078,1290.4,1295.9,1272.45,1624814.0
2006-11-15,1262.65,-0.9969,0.14,0.778,0.082,1282.0,1285.85,1258.1,2094408.0
2006-11-16,1265.75,0.9302,0.092,0.801,0.107,1265.0,1282.0,1255.15,1616180.0
2006-11-17,1259.25,-0.9485,0.11,0.794,0.096,1270.0,1272.0,1252.35,1255215.0
2006-11-20,1259.0,-0.9978,0.129,0.814,0.057,1225.25,1267.9,1225.25,2787002.0
2006-11-21,1274.05,0.6673,0.103,0.796,0.101,1267.0,1278.4,1259.15,1829275.0
2006-11-22,1278.15,0.9814,0.094,0.78,0.126,1279.9,1290.5,1272.3,1802105.0
2006-11-23,1271.95,-0.9951,0.133,0.773,0.095,1280.0,1289.8,1269.0,1840998.0
2006-11-24,1262.35,-0.9971,0.151,0.772,0.077,1270.0,1274.4,1258.3,2104153.0
2006-11-27,1252.85,-0.9725,0.09,0.844,0.066,1262.0,1269.0,1250.65,1812379.0
2006-11-28,1250.7,-0.7983,0.085,0.827,0.088,1249.3,1269.7,1239.9,3116339.0
2006-11-29,1249.3,-0.9936,0.125,0.799,0.076,1255.1,1265.7,1246.15,1766782.0
2006-11-30,1244.45,-0.9891,0.125,0.78,0.094,1251.0,1261.0,1240.05,2691326.0
2006-12-01,1261.05,-0.9984,0.176,0.744,0.079,1245.1,1268.9,1245.1,2280348.0
2006-12-04,1259.9,-0.9629,0.118,0.788,0.094,1265.0,1276.0,1255.6,2498187.0
2006-12-05,1279.55,0.9367,0.095,0.786,0.119,1280.0,1294.4,1265.0,3765214.0
2006-12-06,1281.35,-0.9419,0.091,0.825,0.084,1284.8,1298.95,1270.15,3199081.0
2006-12-07,1301.0,-0.9657,0.087,0.842,0.071,1281.0,1309.0,1281.0,3823498.0
2006-12-08,1269.15,-0.9953,0.104,0.845,0.051,1305.0,1305.0,1265.0,2917691.0
2006-12-11,1240.0,-0.9366,0.115,0.789,0.096,1280.0,1280.0,1226.3,4535936.0
2006-12-12,1205.4,-0.9885,0.088,0.863,0.05,1238.0,1259.0,1176.35,6878210.0
2006-12-13,1238.4,-0.9949,0.113,0.826,0.06,1214.9,1242.1,1201.0,5255745.0
2006-12-14,1259.45,-0.985,0.116,0.801,0.082,1245.0,1273.4,1239.05,3005436.0
2006-12-15,1253.7,0.9774,0.116,0.751,0.133,1266.0,1270.0,1245.5,2415209.0
2006-12-18,1289.1,-0.7276,0.087,0.816,0.097,1260.0,1298.0,1243.05,2522336.0
2006-12-19,1253.55,0.9561,0.091,0.797,0.112,1297.8,1297.8,1230.0,4225479.0
2006-12-20,1248.9,0.9867,0.09,0.798,0.111,1260.0,1275.0,1233.3,4201035.0
2006-12-21,1261.45,-0.9954,0.136,0.774,0.09,1252.0,1267.6,1243.1,2314366.0
2006-12-22,1272.55,-0.686,0.109,0.776,0.115,1261.55,1275.0,1256.25,1402800.0
2006-12-26,1277.0,0.9443,0.08,0.81,0.109,1284.9,1284.9,1266.0,1647160.0
2006-12-27,1293.35,-0.9928,0.113,0.815,0.073,1285.0,1297.9,1280.5,2336334.0
2006-12-28,1274.7,-0.9273,0.062,0.9,0.038,1297.0,1303.0,1268.25,4093985.0
2006-12-29,1270.15,-0.9855,0.094,0.85,0.057,1280.05,1287.0,1265.2,2244378.0
2007-01-02,1280.9,-0.9966,0.166,0.73,0.104,1275.0,1285.8,1270.3,1149902.0
2007-01-03,1284.55,-0.9942,0.126,0.804,0.07,1285.0,1290.9,1275.35,1489730.0
2007-01-04,1280.5,-0.9979,0.175,0.742,0.082,1290.0,1300.0,1277.0,3022423.0
2007-01-05,1288.15,-0.9978,0.133,0.815,0.052,1275.0,1312.0,1275.0,3047126.0
2007-01-08,1276.85,-0.9912,0.117,0.793,0.09,1294.0,1294.0,1266.6,2191355.0
2007-01-09,1278.3,-0.9926,0.123,0.798,0.079,1294.8,1294.8,1272.0,2561246.0
2007-01-10,1273.15,-0.9778,0.107,0.808,0.085,1275.0,1290.9,1264.1,4813168.0
2007-01-11,1296.5,-0.9731,0.111,0.798,0.091,1275.0,1300.0,1265.2,2228244.0
2007-01-12,1339.5,0.7612,0.1,0.785,0.115,1308.7,1345.0,1295.0,4479089.0
2007-01-15,1364.95,-0.9951,0.117,0.817,0.066,1364.8,1372.0,1346.0,3217452.0
2007-01-16,1346.95,-0.9916,0.1,0.844,0.056,1367.0,1372.0,1344.1,1793509.0
2007-01-17,1349.85,-0.9925,0.126,0.786,0.088,1358.0,1362.0,1345.15,1564256.0
2007-01-18,1367.4,-0.9805,0.107,0.806,0.087,1355.0,1384.7,1349.0,3531763.0
2007-01-19,1382.75,-0.9761,0.122,0.772,0.106,1428.0,1428.0,1374.25,6458817.0
2007-01-22,1373.85,-0.9885,0.123,0.804,0.073,1385.0,1394.95,1371.05,1567523.0
2007-01-23,1360.55,0.9866,0.099,0.774,0.127,1371.05,1380.75,1357.65,1213863.0
2007-01-24,1369.5,0.9887,0.1,0.767,0.133,1374.4,1374.4,1360.25,1682940.0
2007-01-25,1370.6,0.8122,0.063,0.86,0.078,1379.7,1379.7,1362.55,2529979.0
2007-01-29,1382.3,-0.8966,0.111,0.781,0.108,1370.0,1393.9,1365.25,1691270.0
2007-01-31,1366.45,0.9876,0.066,0.829,0.105,1385.95,1389.0,1358.6,2700046.0
2007-02-01,1377.6,-0.7625,0.097,0.811,0.092,1368.0,1384.0,1364.05,919579.0
2007-02-02,1375.05,-0.978,0.095,0.84,0.066,1383.7,1393.7,1368.05,1631888.0
2007-02-05,1387.35,-0.9848,0.119,0.796,0.086,1380.0,1391.0,1372.0,962858.0
2007-02-06,1389.2,-0.9789,0.126,0.775,0.099,1330.0,1408.0,1330.0,1756515.0
2007-02-07,1394.9,0.9568,0.102,0.781,0.117,1398.0,1399.8,1381.25,1527047.0
2007-02-08,1397.05,-0.8717,0.078,0.86,0.062,1396.95,1403.0,1381.0,1002039.0
2007-02-09,1391.8,-0.9965,0.122,0.819,0.059,1400.5,1406.8,1370.0,1538248.0
2007-02-12,1358.95,0.7892,0.062,0.87,0.068,1387.0,1387.0,1353.2,1268179.0
2007-02-13,1366.0,-0.9877,0.145,0.746,0.109,1356.0,1385.0,1342.0,1443752.0
2007-02-14,1377.05,0.9699,0.102,0.769,0.129,1365.15,1386.7,1342.25,1421621.0
2007-02-15,1406.95,-0.9128,0.084,0.845,0.072,1382.5,1413.7,1382.5,2044494.0
2007-02-19,1420.75,-0.9777,0.085,0.855,0.06,1410.0,1430.0,1410.0,1562912.0
2007-02-20,1414.6,-0.9944,0.141,0.778,0.082,1429.0,1444.4,1410.25,3280207.0
2007-02-21,1406.75,0.9427,0.101,0.776,0.123,1391.0,1425.0,1391.0,1527424.0
2007-02-22,1412.05,-0.9894,0.116,0.807,0.077,1415.0,1425.95,1400.0,3719836.0
2007-02-23,1413.25,0.9657,0.083,0.813,0.103,1424.0,1443.7,1402.1,3751615.0
2007-02-26,1406.55,0.9965,0.077,0.79,0.133,1420.0,1429.8,1372.5,7248366.0
2007-02-27,1405.45,0.9923,0.087,0.795,0.117,1305.1,1415.1,1305.1,2988590.0
2007-02-28,1352.5,-0.9945,0.092,0.848,0.059,1350.1,1380.0,1331.15,7056818.0
2007-03-01,1367.75,-0.9908,0.118,0.798,0.084,1375.0,1375.0,1319.05,3952391.0
2007-03-02,1316.2,0.4822,0.106,0.78,0.115,1371.0,1371.0,1308.0,4747034.0
2007-03-05,1259.35,-0.9915,0.121,0.791,0.087,1300.0,1301.0,1248.2,5389119.0
2007-03-06,1297.85,-0.9976,0.143,0.786,0.071,1274.0,1306.9,1263.3,3553116.0
2007-03-07,1288.65,-0.9822,0.097,0.842,0.061,1311.0,1329.0,1261.1,3450264.0
2007-03-08,1335.55,-0.9893,0.134,0.76,0.105,1319.0,1340.0,1290.0,3345797.0
2007-03-09,1318.2,-0.6403,0.131,0.74,0.129,1338.0,1349.8,1305.0,2411381.0
2007-03-12,1315.7,-0.9873,0.107,0.826,0.067,1329.9,1334.6,1307.0,2156009.0
2007-03-13,1326.75,-0.9906,0.095,0.837,0.067,1315.7,1331.7,1305.25,1581553.0
2007-03-14,1285.35,-0.982,0.099,0.822,0.078,1309.0,1309.0,1261.25,2687015.0
2007-03-15,1283.4,-0.9992,0.174,0.737,0.089,1299.0,1309.9,1279.0,2859247.0
2007-03-16,1300.15,-0.9954,0.14,0.771,0.089,1283.4,1305.8,1276.0,2567950.0
2007-03-19,1313.55,-0.9955,0.107,0.833,0.06,1301.1,1318.0,1297.1,1180894.0
2007-03-20,1322.95,-0.9964,0.126,0.803,0.07,1318.0,1335.0,1316.0,1172767.0
2007-03-21,1340.0,-0.9971,0.123,0.822,0.056,1320.0,1343.8,1305.0,1198964.0
2007-03-22,1375.25,-0.9895,0.103,0.835,0.063,1347.0,1379.95,1347.0,2414019.0
2007-03-23,1376.05,-0.9986,0.164,0.764,0.072,1376.0,1383.8,1360.0,1906116.0
2007-03-26,1364.55,-0.9562,0.096,0.826,0.078,1383.0,1383.0,1350.0,1473727.0
2007-03-28,1350.0,-0.9969,0.14,0.79,0.07,1360.0,1374.0,1342.55,2133169.0
